,unnamed: 0,order,element,notes,base_value,late,goe_total,aggregate_score,judge,score,event,name,country,attempt_id
85,787,4,3A,,8.8,True,1.71,10.51,5,2,2020 European Championships Mens Short Program,Alexander Samarin,RUS,9
86,794,4,3A,,8.8,True,1.71,10.51,6,2,2020 European Championships Mens Short Program,Alexander Samarin,RUS,9
87,801,4,3A,,8.8,True,1.71,10.51,7,2,2020 European Championships Mens Short Program,Alexander Samarin,RUS,9
88,808,4,3A,,8.8,True,1.71,10.51,8,2,2020 European Championships Mens Short Program,Alexander Samarin,RUS,9
89,815,4,3A,,8.8,True,1.71,10.51,9,2,2020 European Championships Mens Short Program,Alexander Samarin,RUS,9
90,820,2,3A,,8.0,False,1.26,9.26,1,1,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
91,827,2,3A,,8.0,False,1.26,9.26,2,3,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
92,834,2,3A,,8.0,False,1.26,9.26,3,2,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
93,841,2,3A,,8.0,False,1.26,9.26,4,2,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
94,848,2,3A,,8.0,False,1.26,9.26,5,2,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
95,855,2,3A,,8.0,False,1.26,9.26,6,2,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
96,862,2,3A,,8.0,False,1.26,9.26,7,1,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
97,869,2,3A,,8.0,False,1.26,9.26,8,1,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
98,876,2,3A,,8.0,False,1.26,9.26,9,1,2020 European Championships Mens Short Program,Nikolaj Majorov,SWE,10
99,885,4,3A,,8.8,True,0.8,9.6,1,2,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
100,892,4,3A,,8.8,True,0.8,9.6,2,1,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
101,899,4,3A,,8.8,True,0.8,9.6,3,1,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
102,906,4,3A,,8.8,True,0.8,9.6,4,0,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
103,913,4,3A,,8.8,True,0.8,9.6,5,1,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
104,920,4,3A,,8.8,True,0.8,9.6,6,1,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
105,927,4,3A,,8.8,True,0.8,9.6,7,0,2020 European Championships Mens Short Program,Irakli Maysuradze,GEO,11
